Number,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
1,Bohemian Rhapsody - 2011 Mix,Queen,glam rock,1975,71,40,41,-10,30,22,354,27,5,84
2,Highway to Hell,AC/DC,album rock,1979,116,91,57,-5,16,42,208,6,13,83
3,Don't Stop Me Now - 2011 Mix,Queen,glam rock,1978,156,87,56,-5,78,61,209,5,17,82
4,Rocket Man (I Think It's Going To Be A Long Long Time),Elton John,glam rock,1972,137,53,60,-9,9,34,282,43,3,81
5,We Will Rock You - Remastered,Queen,glam rock,1977,81,50,69,-7,26,48,122,68,12,79
6,Let It Be - Remastered 2009,The Beatles,british invasion,1970,143,40,44,-8,11,41,243,63,3,79
7,Mr. Blue Sky,Electric Light Orchestra,album rock,1977,178,34,39,-10,25,48,303,65,3,79
8,Tiny Dancer,Elton John,glam rock,1971,145,43,41,-11,15,28,377,38,3,79
9,Dreams - 2004 Remaster,Fleetwood Mac,album rock,1977,120,49,83,-10,13,79,258,6,3,79
10,I Was Made For Lovin' You,KISS,album rock,1979,128,85,77,-6,7,87,271,21,4,78
11,Immigrant Song - Remaster,Led Zeppelin,album rock,1970,113,93,56,-10,35,62,146,1,6,77
12,Imagine - Remastered,John Lennon,album rock,1971,76,26,55,-12,9,17,188,91,3,77
13,How Deep Is Your Love,Bee Gees,adult standards,1979,105,36,63,-9,13,67,245,11,3,77
14,We Are The Champions - Remastered 2011,Queen,glam rock,1977,64,46,27,-7,12,18,179,38,3,76
15,Don't Go Breaking My Heart,Elton John,glam rock,1975,131,84,73,-9,6,78,275,15,3,75
16,Somebody To Love - 2011 Mix,Queen,glam rock,1976,109,70,41,-7,23,33,296,19,6,75
17,Rock And Roll All Nite,KISS,album rock,1975,145,93,65,-6,5,90,169,5,10,75
18,Listen to the Music,The Doobie Brothers,album rock,1972,106,60,65,-13,7,91,227,22,3,75
19,Take It Easy - 2013 Remaster,Eagles,album rock,1972,139,67,57,-10,13,74,212,34,3,75
20,Smoke On The Water - Remastered 2012,Deep Purple,album rock,1972,114,68,60,-9,11,81,341,13,3,75
21,Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,europop,1979,120,49,75,-10,16,54,293,2,4,74
22,Love Of My Life - Remastered 2011,Queen,glam rock,1975,154,18,33,-12,12,26,217,93,3,74
23,Father And Son,Yusuf / Cat Stevens,british folk,1970,136,33,50,-11,10,40,221,59,3,74
24,Rebel Rebel - 2016 Remaster,David Bowie,album rock,1974,126,69,64,-16,28,46,275,21,5,74
25,You're The One That I Want - From â€œGreaseâ€,John Travolta,hollywood,1978,107,61,76,-11,10,82,170,28,6,74
26,The Boys Are Back In Town,Thin Lizzy,album rock,1976,81,71,45,-10,21,77,267,23,5,74
27,Brandy (You're a Fine Girl),Looking Glass,soft rock,1972,125,63,72,-11,13,83,187,40,6,73
28,Starman - 2012 Remaster,David Bowie,album rock,1972,100,45,49,-10,54,55,254,17,3,73
29,Mamma Mia,ABBA,europop,1975,138,75,75,-7,47,83,213,30,3,72
30,Life in the Fast Lane - 2013 Remaster,Eagles,album rock,1976,110,76,67,-7,5,88,286,10,7,72
31,Rock with You - Single Version,Michael Jackson,pop,1979,114,54,81,-13,16,85,221,18,4,72
32,Another Brick In The Wall Pt. 2 - 2011 Remastered Version,Pink Floyd,album rock,1979,104,39,69,-16,25,72,239,8,4,72
33,YMCA - Original Version 1978,Village People,disco,1978,127,97,72,-5,12,73,287,6,14,71
34,Take Me Home Country Roads,John Denver,adult standards,1971,82,40,46,-9,12,63,190,76,3,70
35,Reelin' In The Years,Steely Dan,album rock,1972,135,76,52,-10,11,71,275,12,4,70
36,Mandy,Barry Manilow,adult standards,1974,104,46,31,-9,14,32,213,42,3,69
37,Everything I Own,Bread,adult standards,1972,79,34,37,-13,10,45,187,74,3,69
38,Sailing,Rod Stewart,adult standards,1975,129,37,43,-10,32,19,278,37,3,68
39,Detroit Rock City,KISS,album rock,1978,91,90,55,-7,29,46,216,4,7,68
40,Let Your Love Flow,The Bellamy Brothers,country,1976,109,55,68,-15,14,95,199,6,3,68
41,You Ain't Seen Nothing Yet,Bachman-Turner Overdrive,album rock,1974,118,44,48,-15,22,76,235,0,4,68
42,Are You Ready For Love? - Remastered,Elton John,glam rock,2017,117,75,80,-5,11,75,212,25,3,67
43,Guilty (feat. Barry Gibb),Barbra Streisand,adult standards,1980,151,43,63,-16,11,95,264,23,4,67
44,Fat Bottomed Girls - 2011 Remaster,Queen,glam rock,1978,89,68,33,-8,34,42,256,3,5,67
45,Love Really Hurts Without You,Billy Ocean,dance rock,2016,141,90,52,-4,10,96,179,0,3,66
46,Your Song,Elton John,glam rock,1990,128,33,55,-11,11,30,241,78,3,66
47,Here You Come Again,Dolly Parton,classic country pop,1977,106,51,53,-9,4,56,179,65,4,66
48,Move On Up,Curtis Mayfield,chicago soul,1970,139,97,54,-6,12,93,166,42,9,66
49,Waterloo,ABBA,europop,1974,148,95,45,-5,9,65,169,40,5,66
50,A Song for You,Donny Hathaway,chicago soul,1971,88,22,32,-13,25,7,326,82,4,65
51,"Evergreen (Love Theme from, ""A Star Is Born"")",Barbra Streisand,adult standards,1976,114,30,34,-11,9,19,185,93,3,65
52,Dancing Queen,ABBA,europop,2008,101,93,51,-4,56,68,231,17,5,65
53,Can't You See,The Marshall Tucker Band,album rock,1973,164,71,41,-5,11,58,365,28,3,65
54,Won't Get Fooled Again - Original Album Version,The Who,album rock,1971,135,92,69,-6,8,23,511,30,6,65
55,Bennie And The Jets - Remastered 2014,Elton John,glam rock,1973,133,67,67,-8,50,78,323,26,5,65
56,Sunny,Boney M.,disco,1976,122,87,65,-6,13,80,242,9,11,64
57,It's A Shame,The Spinners,classic soul,1970,199,64,37,-12,12,71,190,9,6,64
58,Voulez-Vous,ABBA,europop,1979,127,77,71,-7,17,90,309,15,4,63
59,Goodbye Yellow Brick Road - Remastered 2014,Elton John,glam rock,1973,121,47,56,-8,15,40,193,45,3,63
60,Since You Been Gone,Rainbow,album rock,1997,121,60,73,-10,60,94,198,37,4,63
61,Sorry Seems To Be The Hardest Word,Elton John,glam rock,1976,118,22,37,-13,20,11,229,83,3,62
62,You To Me Are Everything,The Real Thing,brit funk,1999,102,91,64,-8,8,82,210,23,10,62
63,Please Mr. Postman,Carpenters,adult standards,1975,133,55,66,-12,24,96,173,14,3,62
64,Stumblin' In - 2017 Remaster,Suzi Quatro,classic uk pop,1978,129,72,76,-11,35,92,240,13,3,61
65,Lady Writer,Dire Straits,album rock,1979,148,81,63,-9,7,96,225,10,3,61
66,Knowing Me Knowing You,ABBA,europop,1976,107,73,55,-7,24,91,242,4,3,61
67,Ophelia - Remastered 2000,The Band,album rock,1975,92,68,83,-7,33,95,213,68,3,61
68,I Will Survive - Extended Version,Gloria Gaynor,disco,2019,116,85,76,-5,27,59,197,6,5,61
69,Sweet Virginia,The Rolling Stones,album rock,1972,107,74,48,-5,26,56,267,50,4,60
70,The Way We Were,Barbra Streisand,adult standards,1974,138,32,26,-12,13,17,211,89,3,60
71,September Earth, Wind & Fire,disco,2014,126,83,69,-7,25,98,215,17,3,60
72,Doctor Doctor - 2007 Remaster,UFO,album rock,1974,143,80,30,-7,50,56,252,0,5,60
73,Ain't No Mountain High Enough,Diana Ross,adult standards,2017,99,79,39,-5,38,38,215,19,4,60
74,Baby Come Back,Player,soft rock,2007,157,57,65,-11,12,56,214,5,11,59
75,Boulder to Birmingham - Remastered,Emmylou Harris,country rock,1975,126,32,48,-11,10,31,213,78,3,59
76,S.O.S.,ABBA,europop,1975,125,71,42,-6,29,58,202,25,3,59
77,Now That We Found Love,The O'Jays,classic soul,1973,114,65,72,-8,27,96,281,25,4,59
78,Fire on the Mountain,The Marshall Tucker Band,album rock,1975,102,83,51,-6,16,57,236,11,4,58
